date,segment,series,usd_per_gb,n_obs,in_stock_rate
2026-08-28,ddr4_desktop,floor,4.1822,4,
2026-08-28,ddr5_desktop,basket,19.1031,2,0.2
2026-08-28,ddr5_desktop,floor,13.7566,2,
2026-08-28,server_ecc,basket,32.655,3,0.5
2026-08-28,server_ecc,floor,32.655,3,
2026-08-28,sodimm,basket,14.0312,3,0.6
2026-08-28,sodimm,floor,13.7419,3,
2026-08-29,ddr4_desktop,basket,6.8592,4,0.667
2026-08-29,ddr4_desktop,floor,4.1822,4,
2026-08-29,ddr5_desktop,basket,20.2812,3,0.3
2026-08-29,ddr5_desktop,floor,13.7566,3,
2026-08-29,server_ecc,basket,32.655,3,0.5
2026-08-29,server_ecc,floor,32.655,3,
2026-08-29,sodimm,basket,14.6795,4,0.8
2026-08-29,sodimm,floor,13.7419,4,
2026-08-30,ddr4_desktop,basket,7.0155,4,0.667
2026-08-30,ddr4_desktop,floor,4.1822,4,
2026-08-30,ddr5_desktop,basket,19.4302,2,0.2
2026-08-30,ddr5_desktop,floor,13.7566,2,
2026-08-30,server_ecc,basket,32.655,3,0.5
2026-08-30,server_ecc,floor,32.655,3,
2026-08-30,sodimm,basket,15.1483,4,0.8
2026-08-30,sodimm,floor,13.7419,4,
2026-08-31,ddr4_desktop,basket,6.8045,4,0.667
2026-08-31,ddr4_desktop,floor,4.1822,4,
2026-08-31,ddr5_desktop,basket,19.4131,2,0.2
2026-08-31,ddr5_desktop,floor,13.7566,2,
2026-08-31,server_ecc,basket,32.655,3,0.5
2026-08-31,server_ecc,floor,32.655,3,
2026-08-31,sodimm,basket,15.1483,4,0.8
2026-08-31,sodimm,floor,13.7419,4,
2026-09-01,ddr4_desktop,basket,7.0155,4,0.667
2026-09-01,ddr4_desktop,floor,4.1822,4,
2026-09-01,ddr5_desktop,basket,19.4131,2,0.2
2026-09-01,ddr5_desktop,floor,13.7566,2,
2026-09-01,server_ecc,basket,32.655,3,0.5
2026-09-01,server_ecc,floor,32.655,3,
2026-09-01,sodimm,basket,15.1483,4,0.8
2026-09-01,sodimm,floor,13.7419,4,
